scenario,deterioration_model,deterioration_label,stock_proportional_mean_time_days,boundary_shift_proportion,gatekeeping_policy,severity,mean_referrals,max_referrals
stock_proportional_six_months_weighted_equal,stock_proportional,six_months,180.0,,weighted_equal,low,1.0915478828066014,7.535731639315068
stock_proportional_six_months_weighted_equal,stock_proportional,six_months,180.0,,weighted_equal,medium,1.4758973881077713,5.0445437424346125
stock_proportional_six_months_weighted_equal,stock_proportional,six_months,180.0,,weighted_equal,high,13.24806444718561,15.62438795865664
stock_proportional_two_years_weighted_equal,stock_proportional,two_years,730.0,,weighted_equal,low,3.6420922834929548,7.535731639315068
stock_proportional_two_years_weighted_equal,stock_proportional,two_years,730.0,,weighted_equal,medium,4.0929392523503045,5.023398302728432
stock_proportional_two_years_weighted_equal,stock_proportional,two_years,730.0,,weighted_equal,high,8.080478182263604,11.811008176758735
stock_proportional_five_years_weighted_equal,stock_proportional,five_years,1825.0,,weighted_equal,low,5.907989781478933,7.535731639315068
stock_proportional_five_years_weighted_equal,stock_proportional,five_years,1825.0,,weighted_equal,medium,4.859838691420703,4.979024527429955
stock_proportional_five_years_weighted_equal,stock_proportional,five_years,1825.0,,weighted_equal,high,5.047681246000802,6.977321386755413
stock_proportional_ten_years_weighted_equal,stock_proportional,ten_years,3650.0,,weighted_equal,low,7.185728135651777,7.535731639315068
stock_proportional_ten_years_weighted_equal,stock_proportional,ten_years,3650.0,,weighted_equal,medium,4.759482128361389,4.888953344610273
stock_proportional_ten_years_weighted_equal,stock_proportional,ten_years,3650.0,,weighted_equal,high,3.8702994367191086,4.706404922472995
boundary_shift_0_01_weighted_equal,boundary_shift,shift_0.01,,0.01,weighted_equal,low,8.156669937560427,8.53921835536888
boundary_shift_0_01_weighted_equal,boundary_shift,shift_0.01,,0.01,weighted_equal,medium,4.2204883034892235,4.521438983589041
boundary_shift_0_01_weighted_equal,boundary_shift,shift_0.01,,0.01,weighted_equal,high,3.4383514010994007,3.8102362692857374
boundary_shift_0_02_weighted_equal,boundary_shift,shift_0.02,,0.02,weighted_equal,low,7.489894497945115,7.573235483385199
boundary_shift_0_02_weighted_equal,boundary_shift,shift_0.02,,0.02,weighted_equal,medium,4.211701749902053,4.521438983589041
boundary_shift_0_02_weighted_equal,boundary_shift,shift_0.02,,0.02,weighted_equal,high,4.113913463916945,5.091182017160366
boundary_shift_0_025_weighted_equal,boundary_shift,shift_0.025,,0.025,weighted_equal,low,7.185728151580598,7.535731639315068
boundary_shift_0_025_weighted_equal,boundary_shift,shift_0.025,,0.025,weighted_equal,medium,4.183721507921948,4.521438983589041
boundary_shift_0_025_weighted_equal,boundary_shift,shift_0.025,,0.025,weighted_equal,high,4.446060049125037,5.710803545749004
boundary_shift_0_05_weighted_equal,boundary_shift,shift_0.05,,0.05,weighted_equal,low,5.9079897805549235,7.535731639315068
boundary_shift_0_05_weighted_equal,boundary_shift,shift_0.05,,0.05,weighted_equal,medium,3.9051464179507893,4.521438983589041
boundary_shift_0_05_weighted_equal,boundary_shift,shift_0.05,,0.05,weighted_equal,high,6.0023735197972,8.456439291956656
boundary_shift_0_075_weighted_equal,boundary_shift,shift_0.075,,0.075,weighted_equal,low,4.946925113226931,7.535731639315068
boundary_shift_0_075_weighted_equal,boundary_shift,shift_0.075,,0.075,weighted_equal,medium,3.52978680338976,4.521438983589041
boundary_shift_0_075_weighted_equal,boundary_shift,shift_0.075,,0.075,weighted_equal,high,7.338797801532435,10.534888373515644
boundary_shift_0_1_weighted_equal,boundary_shift,shift_0.1,,0.1,weighted_equal,low,4.212443082200989,7.535731639315068
boundary_shift_0_1_weighted_equal,boundary_shift,shift_0.1,,0.1,weighted_equal,medium,3.1527970875782296,4.521438983589041
boundary_shift_0_1_weighted_equal,boundary_shift,shift_0.1,,0.1,weighted_equal,high,8.450269548328226,12.022269035485595
