scenario,deterioration_model,deterioration_label,stock_proportional_mean_time_days,boundary_shift_proportion,gatekeeping_policy,t,stock_prop_high,stock_prop_medium,stock_prop_low,referral_prop_high,referral_prop_medium,referral_prop_low
stock_proportional_six_months_weighted_equal,stock_proportional,six_months,180.0,,weighted_equal,1825.0,0.9558800906299281,0.02215600289513932,0.021963906474932522,0.9558800906299281,0.02215600289513932,0.021963906474932526
stock_proportional_two_years_weighted_equal,stock_proportional,two_years,730.0,,weighted_equal,1825.0,0.7225823882703015,0.16316957089773781,0.11424804083196058,0.7225823882703015,0.16316957089773781,0.11424804083196058
stock_proportional_five_years_weighted_equal,stock_proportional,five_years,1825.0,,weighted_equal,1825.0,0.42686360690008207,0.2879160350578615,0.2852203580420563,0.42686360690008207,0.28791603505786156,0.28522035804205637
stock_proportional_ten_years_weighted_equal,stock_proportional,ten_years,3650.0,,weighted_equal,1825.0,0.28793183933940875,0.2990999185464301,0.412968242114161,0.2879318393394088,0.2990999185464301,0.41296824211416105
boundary_shift_0_01_weighted_equal,boundary_shift,shift_0.01,,0.01,weighted_equal,1825.0,0.23310538695618951,0.24447614385927274,0.5224184691845377,0.23310538695618951,0.24447614385927272,0.5224184691845377
boundary_shift_0_02_weighted_equal,boundary_shift,shift_0.02,,0.02,weighted_equal,1825.0,0.31147201017563075,0.2423479322483301,0.4461800575760391,0.31147201017563075,0.24234793224833012,0.44618005757603907
boundary_shift_0_025_weighted_equal,boundary_shift,shift_0.025,,0.025,weighted_equal,1825.0,0.34937966369125506,0.23765209423967232,0.4129682420690727,0.349379663691255,0.2376520942396723,0.4129682420690727
boundary_shift_0_05_weighted_equal,boundary_shift,shift_0.05,,0.05,weighted_equal,1825.0,0.5173541503296022,0.19742549153976974,0.28522035813062807,0.5173541503296022,0.19742549153976974,0.28522035813062807
boundary_shift_0_075_weighted_equal,boundary_shift,shift_0.075,,0.075,weighted_equal,1825.0,0.6445110093186756,0.1523485428865151,0.20314044779480944,0.6445110093186756,0.1523485428865151,0.20314044779480947
boundary_shift_0_1_weighted_equal,boundary_shift,shift_0.1,,0.1,weighted_equal,1825.0,0.7355070576602337,0.11482242411376879,0.1496705182259974,0.7355070576602337,0.1148224241137688,0.14967051822599742
