scenario,deterioration_model,deterioration_label,stock_proportional_mean_time_days,boundary_shift_proportion,gatekeeping_policy,severity,initial,final,minimum,maximum,mean
stock_proportional_six_months_weighted_equal,stock_proportional,six_months,180.0,,weighted_equal,low,77406.71680756824,3687.757942325496,3687.757942325496,77406.71680756824,11212.333704334556
stock_proportional_six_months_weighted_equal,stock_proportional,six_months,180.0,,weighted_equal,medium,46444.030084540944,3720.011089101477,3720.011089101477,51817.34005187025,15160.355573473045
stock_proportional_six_months_weighted_equal,stock_proportional,six_months,180.0,,weighted_equal,high,30962.6867230273,160493.0525521263,30962.6867230273,160493.0525521263,136083.55790718299
stock_proportional_two_years_weighted_equal,stock_proportional,two_years,730.0,,weighted_equal,low,77406.71680756824,19182.339920002796,19182.339920002796,77406.71680756824,37411.41795768555
stock_proportional_two_years_weighted_equal,stock_proportional,two_years,730.0,,weighted_equal,medium,46444.030084540944,27396.305011173554,27396.305011173554,51600.13498918351,42042.498961129975
stock_proportional_two_years_weighted_equal,stock_proportional,two_years,730.0,,weighted_equal,high,30962.6867230273,121322.17665242308,30962.6867230273,121322.17665242308,83002.33026624484
stock_proportional_five_years_weighted_equal,stock_proportional,five_years,1825.0,,weighted_equal,low,77406.71680756824,47888.73244680881,47888.73244680881,77406.71680756824,60686.621260641434
stock_proportional_five_years_weighted_equal,stock_proportional,five_years,1825.0,,weighted_equal,medium,46444.030084540944,48341.338832478774,46444.030084540944,51144.32944532738,49920.0575767135
stock_proportional_five_years_weighted_equal,stock_proportional,five_years,1825.0,,weighted_equal,high,30962.6867230273,71670.75030143393,30962.6867230273,71670.75030143393,51849.56835585639
stock_proportional_ten_years_weighted_equal,stock_proportional,ten_years,3650.0,,weighted_equal,low,77406.71680756824,69337.70714421783,69337.70714421783,77406.71680756824,73811.495615192
stock_proportional_ten_years_weighted_equal,stock_proportional,ten_years,3650.0,,weighted_equal,medium,46444.030084540944,50219.122063383045,46444.030084540944,50219.122063383045,48889.199203786615
stock_proportional_ten_years_weighted_equal,stock_proportional,ten_years,3650.0,,weighted_equal,high,30962.6867230273,48343.99238886971,30962.6867230273,48343.99238886971,39755.55218760876
boundary_shift_0_01_weighted_equal,boundary_shift,shift_0.01,,0.01,weighted_equal,low,77406.71680756824,87714.48993001906,77406.71680756824,87714.48993001906,83784.9687554601
boundary_shift_0_01_weighted_equal,boundary_shift,shift_0.01,,0.01,weighted_equal,medium,46444.030084540944,41047.74529152263,41047.74529152263,46444.030084540944,43352.67742198174
boundary_shift_0_01_weighted_equal,boundary_shift,shift_0.01,,0.01,weighted_equal,high,30962.6867230273,39138.585871050695,30962.6867230273,39138.585871050695,35318.600227381765
boundary_shift_0_02_weighted_equal,boundary_shift,shift_0.02,,0.02,weighted_equal,low,77406.71680756824,74913.99828323878,74913.99828323878,77791.95470828994,76935.87962929448
boundary_shift_0_02_weighted_equal,boundary_shift,shift_0.02,,0.02,weighted_equal,medium,46444.030084540944,40690.41695639614,40690.41695639614,46444.030084540944,43262.42231500654
boundary_shift_0_02_weighted_equal,boundary_shift,shift_0.02,,0.02,weighted_equal,high,30962.6867230273,52296.406438106125,30962.6867230273,52296.406438106125,42257.94517560724
boundary_shift_0_025_weighted_equal,boundary_shift,shift_0.025,,0.025,weighted_equal,low,77406.71680756824,69337.70713770359,69337.70713770359,77406.71680756824,73811.4957788123
boundary_shift_0_025_weighted_equal,boundary_shift,shift_0.025,,0.025,weighted_equal,medium,46444.030084540944,39901.981877570615,39901.981877570615,46444.030084540944,42975.01045232038
boundary_shift_0_025_weighted_equal,boundary_shift,shift_0.025,,0.025,weighted_equal,high,30962.6867230273,58661.13258375382,30962.6867230273,58661.13258375382,45669.74085655558
boundary_shift_0_05_weighted_equal,boundary_shift,shift_0.05,,0.05,weighted_equal,low,77406.71680756824,47888.73246267223,47888.73246267223,77406.71680756824,60686.621251150806
boundary_shift_0_05_weighted_equal,boundary_shift,shift_0.05,,0.05,weighted_equal,medium,46444.030084540944,33147.90223119188,33147.90223119188,46444.030084540944,40113.498905579625
boundary_shift_0_05_weighted_equal,boundary_shift,shift_0.05,,0.05,weighted_equal,high,30962.6867230273,86864.18689033596,30962.6867230273,86864.18689033596,61656.12703034325
boundary_shift_0_075_weighted_equal,boundary_shift,shift_0.075,,0.075,weighted_equal,low,77406.71680756824,34107.448081707655,34107.448081707655,77406.71680756824,50814.60561971427
boundary_shift_0_075_weighted_equal,boundary_shift,shift_0.075,,0.075,weighted_equal,medium,46444.030084540944,25579.445517784254,25579.445517784254,46444.030084540944,36257.820814053855
boundary_shift_0_075_weighted_equal,boundary_shift,shift_0.075,,0.075,weighted_equal,high,30962.6867230273,108213.92798459418,30962.6867230273,108213.92798459418,75383.82075172316
boundary_shift_0_1_weighted_equal,boundary_shift,shift_0.1,,0.1,weighted_equal,low,77406.71680756824,25129.802976989493,25129.802976989493,77406.71680756824,43270.037249039735
boundary_shift_0_1_weighted_equal,boundary_shift,shift_0.1,,0.1,weighted_equal,medium,46444.030084540944,19278.779344923383,19278.779344923383,46444.030084540944,32385.398391399955
boundary_shift_0_1_weighted_equal,boundary_shift,shift_0.1,,0.1,weighted_equal,high,30962.6867230273,123492.23926169614,30962.6867230273,123492.23926169614,86800.81154462545
